"code","description","record_type"
"C70.1","Злоякісне новоутворення Оболонок спинного мозку","ICD10"
"S42.44","Перелом виростка(ів) плечової кістки, неуточнений","ICD10"
"M81.51","Ідіопатичний остеопороз, ділянка плеча","ICD10"
"L25.2","Неуточнений контактний дерматит, спричинений барвниками","ICD10"
"P36.3","Сепсис новонародженого, спричинений іншими та неуточненими стафілококами","ICD10"
"F23.11","Гострий поліморфний психотичний розлад з симптомами шизофренії, з зазначенням асоційованого гострого стресу","ICD10"
"S24.4","Травма симпатичних нервів грудного відділу","ICD10"
"K57.12","Дивертикулярна хвороба тонкої кишки без перфорації чи абсцесу, дивертикуліт без згадки про кровотечу","ICD10"
"S63.11","Вивих п'ястково-фалангового суглоба","ICD10"
"V43.28","Особа, яка знаходилася в легковому автомобілі, травмована при зіткненні з легковим автомобілем, вантажним автомобілем типу 'пікап' або фургоном, Особа, яка знаходилась ззовні на транспортному засобі, травмована внаслідок не дорожнього нещасного випадку, інший уточнений легковий автомобіль [легковик]","ICD10"
"M90.65","Деформуючий остеїт при новоутвореннях (C00-D48 †), ділянка таза та стегно","ICD10"
"Z52.5","Донор рогівки","ICD10"
"Q14.8","Інші вроджені вади розвитку заднього сегмента ока","ICD10"
"T63.4","Отрути інших членистоногих","ICD10"
"O45.8","Інше передчасне відшарування плаценти","ICD10"
"F33.3","Рекурентний депресивний розлад, тяжкий поточний епізод з психотичними симптомами","ICD10"
"F15.52","Розлади психіки та поведінки внаслідок вживання інших стимуляторів, включаючи кофеїн, психотичний розлад, метилендіокси метамфетамін","ICD10"
"C53.9","Злоякісне новоутворення неуточненої частини шийки матки","ICD10"
"M79.83","Інші уточнені ураження м'яких тканин, передпліччя","ICD10"
"F14.6","Розлади психіки та поведінки внаслідок вживання кокаїну, амнестичний синдром","ICD10"
"V43.12","Особа, яка знаходилася в легковому автомобілі, травмована при зіткненні з легковим автомобілем, вантажним автомобілем типу 'пікап' або фургоном, Пасажир, травмований внаслідок не дорожнього нещасного випадку, Чотириколісні мотоцикли","ICD10"
"M06.27","Ревматоїдний бурсит, ділянка гомілковостопного суглоба та стопи","ICD10"
"M89.13","Передчасне зрощення епіфіза з діафізом, передпліччя","ICD10"
"M87.13","Остеонекроз, спричинений лікарськими засобами, передпліччя","ICD10"
"M72.47","Псевдосаркоматозний фіброматоз, ділянка гомілковостопного суглоба та стопи","ICD10"
"Q93.2","Заміщення хромосоми у вигляді кільця або дицентрику","ICD10"
"S42.13","Перелом дзьобоподібного відростка","ICD10"
"S72.08","Перелом інших частин шийки стегнової кістки","ICD10"
"K65.0","Гострий перитоніт","ICD10"
"K91.41","Кровотеча з стоми травної системи","ICD10"
"H33.4","Тракційне відшарування сітківки","ICD10"
"T13.03","Укус комахи у ділянці нижньої кінцівки, рівень неуточнений","ICD10"
"E10.51","Цукровий діабет типу 1 з периферичною ангіопатією, без гангрени","ICD10"
"M54.3","Ішіас","ICD10"
"H34.8","Інші ретинальні судинні оклюзії","ICD10"
"C88.71","Інші злоякісні імунопроліферативні хвороби, у стадії ремісії","ICD10"
"K00.2","Аномалії розмірів та форми зубів","ICD10"
"K13.3","Волосата лейкоплакія","ICD10"
"W17.5","Падіння з рухової підйомної платформи","ICD10"
"C02.1","Злоякісне новоутворення Бічної поверхні язика","ICD10"
"Q42.02","Вроджені відсутність, атрезія та стеноз прямої кишки з ректовезикальним свищем [норицею]","ICD10"
"M49.16","Бруцельозний спондиліт, поперековий відділ (A23.- †)","ICD10"
"O99.01","Анемія під час вагітності","ICD10"
"E66.12","Ожиріння, зумовлене прийомом лікарських засобів, індекс маси тіла [ІМТ] ≥ 35 кг/м2 до ≤ 39,99 кг/м2","ICD10"
"F50.8","Інші розлади споживання їжі","ICD10"
"E27.4","Інша та неуточнена недостатність кіркової речовини надниркових залоз","ICD10"
"M36.1","Артропатія при новоутвореннях (C00-D48 †)","ICD10"
"Z46.0","Підбір та корекція окулярів та контактних лінз","ICD10"
"M46.96","Запальна спондилопатія, неуточнена, поперековий відділ","ICD10"
"N03.6","Хронічний нефритичний синдром, Хвороба щільного осаду","ICD10"
"Z63.6","Залежний член родини, який потребує догляду в домашніх умовах","ICD10"
"B30.1","Кон'юнктивіти, спричинені аденовірусом","ICD10"
"Q71.83","Інші дефекти, що вкорочують кист(ь)і","ICD10"
"M81.37","Післяопераційний остеопороз внаслідок порушення всмоктування, ділянка гомілковостопного суглоба та стопи","ICD10"
"W94","Вплив високого та низького атмосферного тиску та змін атмосферного тиску","ICD10"
"R84.7","Відхилення від норми, виявлені при дослідженні проб з органів дихання та грудної клітки, Відхилення від норми, виявлені при гістологічних дослідженнях","ICD10"
"T67.8","Інші наслідки дії високої температури та світла","ICD10"
"Z61.3","Події, що призводять до зниження самооцінки в дитинстві","ICD10"
"M48.56","Сплющений хребець, не класифікований в інших рубриках, поперековий відділ","ICD10"
"H83.1","Лабіринтний свищ [нориця]","ICD10"
"V77.1","Особа, яка знаходилася в автобусі, травмована при зіткненні з нерухомим або стаціонарним об'єктом, Пасажир, травмований внаслідок не дорожнього нещасного випадку","ICD10"
"V47.98","Особа, яка знаходилася в легковому автомобілі, травмована при зіткненні з нерухомим або стаціонарним об'єктом, Особа без додаткового уточнення, що знаходилась у легковому автомобілі, травмована внаслідок дорожнього нещасного випадку, інший уточнений легковий автомобіль [легковик]","ICD10"
"M84.35","Стресовий перелом, не класифікований в інших рубриках, ділянка таза та стегно","ICD10"
"M07.41","Артропатія при хворобі Крона [регіонарному ентериті] (K50.- †), ділянка плеча","ICD10"
"M06.84","Інший уточнений ревматоїдний артрит, кисть","ICD10"
"M43.96","Деформуюча дорсопатія, неуточнена, поперековий відділ","ICD10"
"M60.00","Інфекційний міозит, множинні локалізації","ICD10"
"I01.0","Гострий ревматичний перикардит","ICD10"
"U07.8","Використання U07.8 в екстрених випадках","ICD10"
"M84.39","Стресовий перелом, не класифікований в інших рубриках, локалізація неуточнена","ICD10"
"E14.71","Неуточнений цукровий діабет з множинними мікросудинними та іншими уточненими несудинними ускладненнями","ICD10"
"L08.1","Еритразма","ICD10"
"B85.3","Фтиріоз","ICD10"
"Q60.5","Ниркова гіпоплазія, неуточнена","ICD10"
"M00.13","Пневмококовий артрит і поліартрит, передпліччя","ICD10"
"V23.11","Мотоцикліст, травмований при зіткненні з легковим автомобілем, вантажним автомобілем типу 'пікап' або фургоном, Мотоцикліст-пасажир, травмований внаслідок не дорожнього нещасного випадку, Мотоцикл, розроблений переважно для їзди на дорогах","ICD10"
"R06.0","Задишка","ICD10"
"H47.3","Інші хвороби диска зорового нерва","ICD10"
"P12.1","Ушкодження волосся внаслідок пологової травми","ICD10"
"J96.00","Гостра респіраторна недостатність, тип І","ICD10"
"O41.1","Інфекція амніотичної порожнини та оболонок плода","ICD10"
"G83.5","Синдром заблокованого тіла","ICD10"
"M94.91","Ураження хряща, неуточнене, ділянка плеча","ICD10"
"Y92.00","Під'їзна алея до будинку","ICD10"
"Q74.26","Інші вроджені вади розвитку пальця(ів) стопи, не класифіковані в інших рубриках","ICD10"
"I61.9","Внутрішньомозковий крововилив, неуточнений","ICD10"
"G82.05","Млява параплегія, неповна, гостра","ICD10"
"M11.89","Інші уточнені кристалічні артропатії, локалізація неуточнена","ICD10"
"S83.14","Латеральний вивих проксимального кінця великогомілкової кістки","ICD10"
"V41.59","Особа, яка знаходилася в легковому автомобілі, травмована при зіткненні з велосипедом, Водій, травмований внаслідок дорожнього нещасного випадку, неуточнений легковий автомобіль [легковик]","ICD10"
"F70.0","Легка розумова відсталість, Відсутність відхилень поведінки у пацієнта або ж вони мінімально виражені","ICD10"
"M23.54","Хронічна нестабільність в зовнішній колатеральній зв’язці або передньому розі латерального меніска","ICD10"
"S00.94","Поверхнева травма голови неуточненої локалізації, травма від поверхневого стороннього тіла (скабка)","ICD10"
"V18.3","Велосипедист, травмований внаслідок транспортного нещасного випадку без зіткнення, Особа, травмована під час посадки чи висадки","ICD10"
"M06.37","Ревматоїдний вузлик, ділянка гомілковостопного суглоба та стопи","ICD10"
"H66.2","Хронічний епітимпано-антральний гнійний середній отит","ICD10"
"G40.50","Специфічні епілептичні синдроми, без згадки про фармакорезистентну епілепсію","ICD10"
"V16.3","Велосипедист, травмований при зіткненні з іншим немоторним транспортним засобом, Особа, травмована під час посадки чи висадки","ICD10"
"M07.56","Артропатія при виразковому коліті (K51.- †), гомілка","ICD10"
"T57.9","Неорганічної речовини, неуточненої","ICD10"
"Q16.3","Вроджена вада розвитку слухових кісточок","ICD10"
"H33.5","Інші форми відшарування сітківки","ICD10"
"H61.8","Інші уточнені хвороби зовнішнього вуха","ICD10"
"T13.9","Неуточнена травма нижньої кінцівки, рівень неуточнений","ICD10"
"M81.44","Остеопороз, спричинений лікарськими засобами, кисть","ICD10"
"V88.1","Особа, травмована внаслідок зіткнення іншого моторного транспортного засобу з дво- або триколісним моторним транспортним засобом, не дорожнього","ICD10"
"R43.0","Аносмія","ICD10"
"Q05.21","Розщілина в поперекового відділу хребта з гідроцефалією, Відкрита, aperta, не вкрита шкірою або оболонкою","ICD10"
"A03.3","Шигельоз, спричинений Shigella sonnei","ICD10"
"L44.0","Лишай червоний волосяний висівкоподібний","ICD10"
"K85.2","Алкогольний гострий панкреатит","ICD10"
"E25.9","Адреногенітальне розлад, неуточнений","ICD10"
"G52.3","Ураження під'язикового нерва","ICD10"
"V23.28","Мотоцикліст, травмований при зіткненні з легковим автомобілем, вантажним автомобілем типу 'пікап' або фургоном, Мотоцикліст без додаткового уточнення, травмований внаслідок не дорожнього нещасного випадку, Інший уточнений мотоцикл","ICD10"
"L60.4","Лінії Бо","ICD10"
"Q10.2","Вроджений ентропіон","ICD10"
"J46","Астматичний статус [status asthmaticus]","ICD10"
"Z46.8","Підбір та припасовування інших уточнених пристроїв","ICD10"
"K07.8","Інші щелепно-лицеві аномалії","ICD10"
"J63.3","Графітний фіброз (легені)","ICD10"
"Q44.3","Вроджений стеноз та стриктура жовчних проток","ICD10"
"I71.1","Аневризма грудної аорти, розірвана","ICD10"
"F72.9","Важка розумова відсталість, Неуточнені відхилення поведінки","ICD10"
"K66.8","Інші уточнені ураження очеревини","ICD10"
"Q84.4","Вроджена лейконіхія","ICD10"
"E80.6","Інші порушення обміну білірубіну","ICD10"
"M61.09","Травматичний осифікуючий міозит, локалізація неуточнена","ICD10"
"M12.43","Інтермітуючий гідрартроз, передпліччя","ICD10"
"L56.3","Сонячна кропивниця","ICD10"
"Y92.68","Інші уточнені виробничі та будівельні площі та приміщення","ICD10"
"D76.2","Гемофагоцитарний синдром, пов'язаний з інфекцією","ICD10"
"S15.2","Травма зовнішньої яремної вени","ICD10"
"H34.1","Центральна ретинальна артеріальна оклюзія","ICD10"
"Z06.74","Резистентність до туберкулостатичних препаратів","ICD10"
"Q76.39","Вроджений сколіоз, зумовлений вадою розвитку кісток","ICD10"
"M84.44","Патологічний перелом, не класифікований в інших рубриках, кисть","ICD10"
"S71.82","Відкрита рана неуточнених частин кульшового суглоба та стегна, сполучена з вивихом","ICD10"
"G70.1","Токсичні порушення нервово-м'язового з'єднання","ICD10"
"D32.9","Доброякісне новоутворення неуточнених оболонок мозку","ICD10"
"R23.0","Ціаноз","ICD10"
"V61.2","Особа, яка знаходилася у важкому вантажному транспортному засобі, травмована при зіткненні з велосипедом, Особа, яка знаходилась ззовні на транспортному засобі, травмована внаслідок не дорожнього нещасного випадку","ICD10"
"H60.5","Гострий зовнішній неінфекційний отит","ICD10"
"A32.1","Лістеріозний менінгіт та менінгоенцефаліт","ICD10"
"C55","Злоякісне новоутворення неуточненого відділу матки","ICD10"
"T87.1","Ускладнення, пов'язані з реплантацією (частини) нижньої кінцівки","ICD10"
"Q22.0","Атрезія клапана легеневої артерії","ICD10"
"E11.53","Цукровий діабет типу 2 з діабетичною кардіоміопатією","ICD10"
"Q38.50","Вроджена вада розвитку піднебіння, неуточнена","ICD10"
"D22.2","Меланоформний невус вуха та зовнішнього слухового ходу","ICD10"
"Z38.3","Двійнята, народжені у стаціонарі","ICD10"
"M40.23","Інший та неуточнений кіфоз, шийно-грудний відділ","ICD10"
"C30.1","Злоякісне новоутворення Середнього вуха","ICD10"
"K40.20","Двобічна пахвинна грижа, без непрохідності чи гангрени, не уточнена як рецидивуюча","ICD10"
"N84.3","Поліп вульви","ICD10"
"L22","Пелюшковий [підгузковий] дерматит","ICD10"
"G20","Хвороба Паркiнсона","ICD10"
"K29.70","Гастрит, неуточнений, без згадки про кровотечу","ICD10"
"Y06.06","Позбавлення догляду або залишення без нагляду з метою вбивства чи нанесення ушкодження, особа, невідома жертві","ICD10"
"M48.04","Спінальний стеноз, грудний відділ","ICD10"
"C25.7","Злоякісне новоутворення Інших частин підшлункової залози","ICD10"
"M25.05","Гемартроз, ділянка таза та стегно","ICD10"
"Y77.2","Офтальмологічні прилади та інструменти та пов'язані з ними випадкові ситуації, Протези та інші імплантати, матеріали та відповідні пристрої","ICD10"
"V86.09","Водій всюдихідного або іншого моторного транспортного засобу, призначеного для позашляхового пересування, травмований внаслідок дорожнього нещасного випадку, спеціальний всюдихідний інший моторний транспортний засіб, призначений для позашляхового пересування, з не уточненою кількістю коліс","ICD10"
"V13.3","Велосипедист, травмований при зіткненні з легковим автомобілем, вантажним автомобілем типу 'пікап' або фургоном, Особа, травмована під час посадки чи висадки","ICD10"
"Q86.1","Гідантоїновий синдром у плода","ICD10"
"D17.0","Доброякісне новоутворення жирової тканини шкіри та підшкірної клітковини голови, обличчя та шиї","ICD10"
"V89.9","Особа, травмована внаслідок нещасного випадку, пов'язаного з неуточненим транспортним засобом","ICD10"
"H59.13","Випадковий прокол і розріз капсули кришталика під час проведення медичної процедури","ICD10"
"D19.7","Доброякісне новоутворення Мезотеліальної тканини інших локалізацій","ICD10"
"N84.8","Поліп інших відділів жіночих статевих органів","ICD10"
"T35.3","Неуточнене обмороження грудної клітки, живота, нижньої частини спини та таза","ICD10"
"E07.0","Гіперсекреція кальцитоніну","ICD10"
"Z80.7","У сімейному анамнезі інші злоякісні новоутворення лімфоїдної, кровотворної та споріднених тканин","ICD10"
"L55.0","Сонячний опік, еритема","ICD10"
"N48.8","Інші уточнені хвороби статевого члена","ICD10"
"Q12.9","Вроджена вада розвитку кришталика, неуточнена","ICD10"
