"code","description","record_type"
"M24.89","Інші уточнені порушення суглобів, не класифіковані в інших рубриках, локалізація неуточнена","ICD10"
"Z34.8","Спостереження за перебігом іншої нормальної вагітності","ICD10"
"Q38.7","Глоткова кишеня","ICD10"
"G60.0","Спадкова моторна та сенсорна невропатія","ICD10"
"T03.0","Вивихи, розтягнення та перенапруження в ділянці голови та шиї","ICD10"
"E80.4","Синдром Жільбера","ICD10"
"S22.00","Перелом грудного хребця, рівень неуточнений","ICD10"
"C70.0","Злоякісне новоутворення Оболонок головного мозку","ICD10"
"Z61.8","Інші несприятливі життєві події у дитинстві","ICD10"
"M84.09","Неправильне зрощення перелому, локалізація неуточнена","ICD10"
"M62.80","Інші уточнені ураження м'яза, множинні локалізації","ICD10"
"M89.81","Інші уточнені ураження кісток, ділянка плеча","ICD10"
"Q89.71","Дизморфічні ознаки","ICD10"
"V86.10","Пасажир всюдихідного або іншого моторного транспортного засобу, призначеного для позашляхового пересування, травмований внаслідок дорожнього нещасного випадку, двоколісний всюдихідний або інший моторний транспортний засіб, призначений для позашляхового пересування","ICD10"
"W38","Вибух та розрив інших уточнених засобів, що перебували під тиском","ICD10"
"T85.83","Кровотеча і гематома після встановлення інших протезних пристроїв, імплантатів і трансплантатів","ICD10"
"L89.15","Пролежень, стадія ІІ, сіднична кістка","ICD10"
"Z24.1","Необхідність імунізації проти вірусного енцефаліту, що передається членистоногими","ICD10"
"M86.09","Гострий гематогенний остеомієліт, локалізація неуточнена","ICD10"
"M62.52","Виснаження та атрофія м'яза, не класифіковані в інших рубриках, плече","ICD10"
"M02.23","Постімунізаційна артропатія, передпліччя","ICD10"
"E87.0","Гіперосмолярність та гіпернатріємія","ICD10"
"R46.1","Дивний зовнішній вигляд","ICD10"
"N14.0","Нефропатія, спричинена анальгетиками","ICD10"
"Q20.59","Інше уточнене дискордантне передсердно-шлуночкове сполучення","ICD10"
"M85.65","Інша кіста кісток, ділянка таза та стегно","ICD10"
"S61.7","Множинні відкриті рани зап'ястка та кисті","ICD10"
"M65.28","Кальцифікуючий тендиніт, інші локалізації","ICD10"
"L95.8","Інший васкуліт, обмежений шкірою","ICD10"
"C76.4","Злоякісне новоутворення Верхньої кінцівки","ICD10"
"Q01.89","Енцефалоцеле інших уточнених локалізацій","ICD10"
"M71.91","Бурсопатія, неуточнена, ділянка плеча","ICD10"
"H62.8","Інші ураження зовнішнього вуха при хворобах, класифікованих в інших рубриках","ICD10"
"E14.9","Неуточнений цукровий діабет без ускладнень","ICD10"
"K14.6","Глосодинія","ICD10"
"B81.2","Трихостронгілоїдоз","ICD10"
"S24.11","Повне ушкодження грудного відділу спинного мозку","ICD10"
"M21.89","Інші уточнені набуті деформації кінцівок, локалізація неуточнена","ICD10"
"O90.1","Розходження швів промежини","ICD10"
"D12.1","Доброякісне новоутворення Червоподібного відростка","ICD10"
"M95.9","Набута деформація кістково-м'язової системи, неуточнена","ICD10"
"M12.09","Хронічна постревматична артропатія [Жакку], локалізація неуточнена","ICD10"
"O35.4","Медична допомога матері при (передбачуваному) ураженню плода внаслідок дії алкоголю","ICD10"
"S20.84","Поверхневі травми інших та неуточнених частин грудної клітки, травма від поверхневого стороннього тіла (скабка)","ICD10"
"D56.9","Таласемія, неуточнена","ICD10"
"J95.61","Випадковий прокол і розріз гортані під час проведення медичної процедури","ICD10"
"P50.3","Кровотеча до другого однояйцевого близнюка","ICD10"
"K91.82","Стеноз хірургічного анастомозу травного тракту","ICD10"
"E03.1","Вроджений гіпотиреоз без зоба","ICD10"
"M01.50","Артрит, зумовлений іншими вірусними хворобами, класифікованими в інших рубриках, множинні локалізації","ICD10"
"V68.6","Особа, яка знаходилася у важкому вантажному транспортному засобі, травмована внаслідок транспортного нещасного випадку без зіткнення, Пасажир, травмований внаслідок дорожнього нещасного випадку","ICD10"
"G96.0","Витікання спинномозкової рідини","ICD10"
"M25.41","Випіт в суглобі, ділянка плеча","ICD10"
"X92.09","Напад з зануренням у воду та утопленням у ванні з метою вбивства чи нанесення ушкодження, неуточнена особа","ICD10"
"F45.33","Соматоформна вегетативна дисфункція нижньої частини шлунково-кишкового тракту","ICD10"
"C17.0","Злоякісне новоутворення Дванадцятипалої кишки","ICD10"
"S34.72","Функціональне ушкодження спинного мозку, L2","ICD10"
"R98","Смерть без свідків","ICD10"
"Q17.3","Інші аномалії вуха","ICD10"
"M23.12","Задній дископодібний ріг медіального меніска (вроджений)","ICD10"
"V40.13","Особа, яка знаходилася в легковому автомобілі, травмована при зіткненні з пішоходом або твариною, Пасажир, травмований внаслідок не дорожнього нещасного випадку, Пасажирський міні-фургон","ICD10"
"K65.9","Перитоніт, неуточнений","ICD10"
"X87.08","Напад з використанням пестицидів з метою вбивства чи нанесення ушкодження, інша уточнена особа","ICD10"
"Z35.52","Спостереження за жінкою старше 35 років з багатьма вагітностями","ICD10"
"O60.0","Передчасні пологи без розродження","ICD10"
"S00.34","Поверхнева травма носа, травма від поверхневого стороннього тіла (скабка)","ICD10"
"T93.6","Наслідки роздавлювання та травматичної ампутації нижньої кінцівки","ICD10"
"N01.6","Швидко прогресуючий нефритичний синдром, Хвороба щільного осаду","ICD10"
"H44.3","Інші дегенеративні хвороби очного яблука","ICD10"
"H60.2","Злоякісний зовнішній отит","ICD10"
"Q11.2","Мікрофтальм","ICD10"
"V66.1","Особа, яка знаходилася у важкому вантажному транспортному засобі, травмована при зіткненні з іншим немоторним транспортним засобом, Пасажир, травмований внаслідок не дорожнього нещасного випадку","ICD10"
"S32.5","Перелом лобкової кістки","ICD10"
"M81.00","Остеопороз у постменопаузі, множинні локалізації","ICD10"
"U57.8","Інші уточнені види акробатичного спорту","ICD10"
"M53.95","Дорсопатія, неуточнена, попереково-грудний відділ","ICD10"
"W07.7","Падіння з крісла-реклайнера","ICD10"
"K57.51","Дивертикулярна хвороба тонкої та товстої кишки без перфорації чи абсцесу, дивертикульоз з кровотечею","ICD10"
"V86.51","Водій всюдихідного або іншого моторного транспортного засобу, призначеного для позашляхового пересування, травмований внаслідок не дорожнього нещасного випадку,","ICD10"
"Z60.1","Нетипова ситуація з батьками","ICD10"
"D81.4","Синдром Незелофа","ICD10"
"T38.7","Андрогенами та їх анаболічними аналогами","ICD10"
"P96.9","Стан, що виник у перинатальному періоді, неуточнений","ICD10"
"E31.0","Аутоімунна полігландулярна недостатність","ICD10"
"Q52.9","Вроджена вада розвитку жіночих статевих органів, неуточнена","ICD10"
"Q78.0","Незавершений остеогенез","ICD10"
"Q40.21","Вроджена відсутність шлунка","ICD10"
"P70.9","Транзиторне порушення вуглеводного обміну у плода та новонародженого, неуточнене","ICD10"
"M90.40","Остеонекроз, спричинений гемоглобінопатією (D50-D64 †), множинні локалізації","ICD10"
"Z82.5","У сімейному анамнезі астма та інші хронічні хвороби нижніх дихальних шляхів","ICD10"
"M19.17","Посттравматичний артроз інших суглобів, ділянка гомілковостопного суглоба та стопи","ICD10"
"D06.7","Карцинома in situ Інших частин шийки матки","ICD10"
"B18.0","Хронічний вірусний гепатит В з дельта-агентом","ICD10"
"Q44.79","Інші вроджені вади розвитку печінки","ICD10"
"A37.1","Коклюш, спричинений Bordetella parapertussis","ICD10"
"I86.1","Варикозне розширення вен мошонки","ICD10"
"M79.70","Фіброміалгія, множинні локалізації","ICD10"
"K62.2","Пролапс ануса","ICD10"
"V19.6","Велосипедист без додаткового уточнення, травмований при зіткненні з іншими та неуточненими моторними транспортними засобами внаслідок дорожнього нещасного випадку","ICD10"
"V55.9","Особа, яка знаходилася у вантажному автомобілі типу 'пікап' чи фургоні, травмована при зіткненні з поїздом чи іншим залізничним транспортним засобом, Особа без додаткового уточнення, що знаходилась у вантажному автомобілі типу 'пікап' чи фургоні, травмована внаслідок дорожнього нещасного випадку","ICD10"
"Z10.3","Чергове загальне медичне обстеження здоров'я членів спортивних команд","ICD10"
"M05.88","Інший серопозитивний ревматоїдний артрит, інші локалізації","ICD10"
"T01.2","Відкриті рани декількох ділянок верхньої(іх) кінцівки(ок)","ICD10"
"M08.81","Інший ювенільний артрит, ділянка плеча","ICD10"
"O63.0","Затяжний перший період (пологів)","ICD10"
"Q84.60","Вроджена вада розвитку нігтів, неуточнена","ICD10"
"Q95.9","Збалансована перебудова та структурний маркер, неуточнені","ICD10"
"Y43.4","Імунодепресивні лікарські засоби","ICD10"
"V21.09","Мотоцикліст, травмований при зіткненні з велосипедом, Мотоцикліст-водій, травмований внаслідок не дорожнього нещасного випадку, Неуточнений мотоцикл","ICD10"
"P52.8","Інші внутрішньочерепні (нетравматичні) крововиливи у плода та новонародженого","ICD10"
"D61.3","Ідіопатична апластична анемія","ICD10"
"C92.01","Гострий мієлоїдний лейкоз (ГМЛ), у стадії ремісії","ICD10"
"K57.01","Дивертикулярна хвороба тонкої кишки з перфорацією та абсцесом, дивертикульоз з кровотечею","ICD10"
"L50.0","Алергічна кропивниця","ICD10"
"T80.0","Повітряна емболія внаслідок інфузії, трансфузії та терапевтичної ін'єкції","ICD10"
"N13.8","Інша обструктивна уропатія та рефлюкс-уропатія","ICD10"
"F78.0","Інші форми розумової відсталості, Відсутність відхилень поведінки у пацієнта або ж вони мінімально виражені","ICD10"
"O32.8","Медична допомога матері при інших формах неправильного передлежання плода","ICD10"
"P00.3","Ураження плода та новонародженого, обумовлене хронічними хворобами системи кровообігу та органів дихання у матері","ICD10"
"K83.4","Спазм сфінктера Одді","ICD10"
"J98.4","Інші ураження легені","ICD10"
"F01.8","Інша судинна деменція","ICD10"
"Q86.89","Вроджені вади розвитку, обумовлені дією інших уточнених екзогенних чинників","ICD10"
"Y45.0","Опіоїдні та споріднені анальгезивні лікарські засоби","ICD10"
"P58.2","Жовтяниця у новонародженого внаслідок інфекції","ICD10"
"S13.3","Множинні вивихи в ділянці шиї","ICD10"
"G62.2","Поліневропатія, спричинена іншими токсичними речовинами","ICD10"
"X46","Випадкове отруєння та дія органічних розчинників та галогенних вуглеводнів та їх випарів","ICD10"
"D28.2","Доброякісне новоутворення Маткових труб та зв'язок","ICD10"
"L89.42","Пролежень, нестабільне, встановлено, верхня кінцівка","ICD10"
"I44.2","Передсердно-шлуночкова блокада повна","ICD10"
"T82.77","Інфекція та запальна реакція, викликані з судинним катетером для діалізу","ICD10"
"D01.1","Карцинома in situ Ректосигмоїдного з'єднання","ICD10"
"Q69.21","Додатковий(і) великий(і) палець (пальці) стопи","ICD10"
"B82.9","Кишкові паразитарні захворювання, неуточнені","ICD10"
"H31.3","Крововиливи та розриви судинної оболонки ока","ICD10"
"Z89.0","Набута відсутність пальця(ців) [включаючи великий палець], однобічна","ICD10"
"M76.5","Тендиніт надколінка","ICD10"
"M19.11","Посттравматичний артроз інших суглобів, ділянка плеча","ICD10"
"Q87.21","Синдром Хольта-Орама","ICD10"
"H40.5","Глаукома вторинна внаслідок інших хвороб ока","ICD10"
"Q24.84","Вроджений дивертикул серця","ICD10"
"W25.3","Контакт зі скляним вікном у стелі або скляними панелями на даху","ICD10"
"S53.48","Розтягнення та перенапруження іншої частини ліктя","ICD10"
"M93.23","Остеохондрит розшаровуючий, передпліччя","ICD10"
"R63.4","Анормальна втрата маси тіла","ICD10"
"K55.21","Ангіодисплазія ободової кишки без згадки про кровотечу","ICD10"
"X89.01","Напад з використанням інших уточнених хімічних та отруйних речовин з метою вбивства чи нанесення ушкодження, один з батьків","ICD10"
"M82.81","Остеопороз при інших захворюваннях, класифікованих в інших рубриках, ділянка плеча","ICD10"
"C45.0","Мезотеліома плеври","ICD10"
"C06.0","Злоякісне новоутворення Слизової оболонки щоки","ICD10"
"M72.94","Фібробластичне порушення, неуточнене, кисть","ICD10"
"J09","Грип, спричинений ідентифікованим зоонозним або пандемічним вірусом грипу","ICD10"
"H59.19","Випадковий прокол і розріз структур ока та придатків під час проведення медичної процедури, не класифіковані в інших рубриках","ICD10"
"Y33","Інші уточнені ушкодження, намір невизначений","ICD10"
"M25.54","Біль в суглобі, кисть","ICD10"
"Z71.2","Звернення за роз'ясненням результатів дослідження","ICD10"
"J96.99","Респіраторна недостатність, тип неуточнений","ICD10"
"P10.0","Субдуральний крововилив внаслідок пологової травми","ICD10"
"G40.71","Малі напади, неуточнені, без великих нападів, з фармакорезистентною епілепсією","ICD10"
"Z06.70","Резистентність до неуточнених протимікробних препаратів","ICD10"
"F15.80","Розлади психіки та поведінки внаслідок вживання інших стимуляторів, включаючи кофеїн, інші розлади психіки та поведінки, неуточнені стимулятори","ICD10"
"M00.26","Інший стрептококовий артрит і поліартрит, гомілка","ICD10"
"Y65.8","Інші уточнені випадкові ситуації під час надання хірургічної та терапевтичної допомоги","ICD10"
"Z13.85","Спеціальне скринінгове обстеження з метою виявлення порушень з боку сечостатевої системи","ICD10"
"M90.24","Остеопатія при інших інфекційних хворобах, класифікованих в інших рубриках, кисть","ICD10"
"M61.50","Інша осифікація м'язів, множинні локалізації","ICD10"
"Q41.81","Вроджені відсутність та атрезія інших уточнених відділів тонкої кишки","ICD10"
"H19.8","Інші ураження склери та рогівки при хворобах, класифікованих в інших рубриках","ICD10"
"E02","Субклінічний гіпотиреоз внаслідок дефіциту йоду","ICD10"
"E16.0","Медикаментозна гіпоглікемія без коми","ICD10"
"T21.25","Опік тулуба часткової товщини [пухирі, втрата епідерміса], статевих органів [зовнішніх]","ICD10"
"Y02.21","Напад зі штовханням під чи на шлях трамвая, що рухається, або розміщенням на шляху його руху з метою вбивства чи нанесення ушкодження, один з батьків","ICD10"
"M25.52","Біль в суглобі, плече","ICD10"
"E70.9","Порушення обміну ароматичних амінокислот, неуточнене","ICD10"
"N21.0","Камені в сечовому міхурі","ICD10"
"M02.82","Інші реактивні артропатії, плече","ICD10"
"S25.8","Травма інших кровоносних судин грудного відділу","ICD10"
"K90.9","Порушення всмоктування в кишечнику, неуточнене","ICD10"
"P01.8","Ураження плода та новонародженого, обумовлене іншими хворобами у матері, що ускладнюють вагітність","ICD10"
"M02.10","Постдизентерійна артропатія, множинні локалізації","ICD10"
"R82.8","Відхилення від норми, виявлені при цитологічному та гістологічному дослідженні сечі","ICD10"
"K56.2","Заворот кишки","ICD10"
"Y76.8","Прилади та інструменти, що використовуються в акушерстві та гінекології, та пов'язані з ними випадкові ситуації, Різне медичне обладнання, не класифіковане в інших рубриках","ICD10"
"P03.9","Ураження плода та новонародженого, обумовлене ускладненнями пологів та розродження, неуточнене","ICD10"
"T63.6","Токсичний ефект, спричинений контактом з іншими морськими тваринами","ICD10"
"T33.7","Поверхневе обмороження коліна та гомілки","ICD10"
"Z80.6","У сімейному анамнезі лейкоз","ICD10"
"X98.04","Напад з використанням пари, гарячих випарів та гарячих предметів з метою вбивства чи нанесення ушкодження, знайомий або друг","ICD10"
"Q89.46","Акардіальний близнюк","ICD10"
"E21.4","Інші уточнені розлади паращитоподібної залози","ICD10"
"V43.93","Особа, яка знаходилася в легковому автомобілі, травмована при зіткненні з легковим автомобілем, вантажним автомобілем типу 'пікап' або фургоном, Особа без додаткового уточнення, що знаходилась у легковому автомобілі, травмована внаслідок дорожнього нещасного випадку, Пасажирський міні-фургон","ICD10"
"Y02.33","Напад зі штовханням під чи на шлях моторного транспортного засобу, що рухається, або розміщенням на шляху його руху з метою вбивства чи нанесення ушкодження, доглядач","ICD10"
"Y92.81","Протоки води","ICD10"
"Q25.30","Стеноз аорти, неуточнений","ICD10"
"A17.1","Менінгеальна туберкульома","ICD10"
"V24.48","Мотоцикліст, травмований при зіткненні з важким вантажним транспортним засобом чи автобусом, Мотоцикліст-водій, травмований внаслідок дорожнього нещасного випадку, Інший уточнений мотоцикл","ICD10"
"M34.0","Прогресуючий системний склероз","ICD10"
"Q63.23","Перехресна ектопія нирки з аномалією зрощення","ICD10"
"M85.42","Одинична кіста кістки, плече","ICD10"
"V42.40","Особа, яка знаходилася в легковому автомобілі, травмована при зіткненні з дво- або триколісним моторним транспортним засобом, Особа, травмована під час посадки або висадки, седан","ICD10"
"O23.1","Інфекції сечового міхура під час вагітності","ICD10"
"V86.12","Пасажир всюдихідного або іншого моторного транспортного засобу, призначеного для позашляхового пересування, травмований внаслідок дорожнього нещасного випадку, чотириколісний всюдихідний або інший моторний транспортний засіб, призначений для позашляхового пересування","ICD10"
"X20.03","Контакт з чорним полозом","ICD10"
"V45.73","Особа, яка знаходилася в легковому автомобілі, травмована при зіткненні з поїздом чи іншим залізничним транспортним засобом, Особа, яка знаходилась ззовні на транспортному засобі, травмована внаслідок дорожнього нещасного випадку, Пасажирський міні-фургон","ICD10"
"V81.5","Особа, яка знаходилась у поїзді чи іншому залізничному транспортному засобі, травмована внаслідок падіння в поїзді чи іншому залізничному транспортному засобі","ICD10"
"V45.02","Особа, яка знаходилася в легковому автомобілі, травмована при зіткненні з поїздом чи іншим залізничним транспортним засобом, Водій, травмований внаслідок не дорожнього нещасного випадку, Чотириколісні мотоцикли","ICD10"
"T96","Наслідки отруєння лікарськими засобами, медикаментами та біологічними речовинами","ICD10"
"T38.0","Глюкокортикоїдами та їх синтетичними аналогами","ICD10"
"T88.51","Переохолодження після анестезії","ICD10"
"V71.4","Особа, яка знаходилася в автобусі, травмована при зіткненні з велосипедом, Особа, травмована під час посадки або висадки","ICD10"
"Q98.8","Інші уточнені аномалії статевих хромосом, чоловічий фенотип","ICD10"
"M23.82","Інші внутрішні ураження задньої хрестоподібної зв’язки або заднього рогу медіального меніска","ICD10"
"X99.88","Напад з використанням іншого уточненого гострого предмета, інша уточнена особа","ICD10"
"R40.0","Сомнолентність","ICD10"
"M75.2","Тендиніт двоголового м'яза","ICD10"
"Y58.8","Змішані бактеріальні вакцини, за винятком комбінованих вакцин з кашлюковим компонентом","ICD10"
"M72.42","Псевдосаркоматозний фіброматоз, плече","ICD10"
"M71.30","Інша кіста синовіальної сумки, множинні локалізації","ICD10"
"O08.1","Тривала або надмірна кровотеча внаслідок аборту, позаматкової та молярної вагітності","ICD10"
"V45.40","Особа, яка знаходилася в легковому автомобілі, травмована при зіткненні з поїздом чи іншим залізничним транспортним засобом, Особа, травмована під час посадки або висадки, седан","ICD10"
"G72.4","Запальна міопатія, не класифікована в інших рубриках","ICD10"
"M01.27","Артрит при хворобі Лайма (A69.2 †), ділянка гомілковостопного суглоба та стопи","ICD10"
"T53.2","Трихлоретилену","ICD10"
"P36.1","Сепсис новонародженого, спричинений іншими та неуточненими стрептококами","ICD10"
"R86.9","Відхилення від норми, виявлені при дослідженні проб з чоловічих статевих органів, Неуточнені відхилення від норми","ICD10"
"M71.17","Інший інфекційний бурсит, ділянка гомілковостопного суглоба та стопи","ICD10"
"C44.5","Злоякісне новоутворення Шкіри тулуба","ICD10"
"E24.8","Інші стани, що характеризуються кушингоїдним синдромом","ICD10"
"M62.43","Контрактура м'яза, передпліччя","ICD10"
"S02.1","Перелом основи черепа","ICD10"
"A71.0","Початкова стадія трахоми","ICD10"
"O99.1","Інші хвороби крові та кровотворних органів та деякі порушення з залученням імунного механізму під час вагітності, пологів та післяпологового періоду","ICD10"
"H50.8","Інша уточнена косоокість","ICD10"
"T97","Наслідки токсичного впливу речовин, переважно немедичного призначення","ICD10"
"M40.30","Синдром прямої спини, множинні відділи хребта","ICD10"
"O84.1","Багатоплідні пологи, всі розродження з застосуванням щипців та вакуум-екстрактора","ICD10"
"M54.81","Інша дорсалгія, ділянка потилиці, першого та другого шийних хребців","ICD10"
"J96.01","Гостра респіраторна недостатність, тип ІI","ICD10"
"V64.5","Особа, що знаходилася у важкому вантажному транспортному засобі, травмована при зіткненні з важким вантажним транспортним засобом чи автобусом, Водій, травмований внаслідок дорожнього нещасного випадку","ICD10"
"T38.6","Антигонадотропінами, антиестрогенами, антиандрогенами, не класифікованими в інших рубриках","ICD10"
"X93.01","Напад з використанням ручної вогнепальної зброї з метою вбивства чи нанесення ушкодження, один з батьків","ICD10"
"M71.46","Відкладення кальцію в синовіальній сумці, гомілка","ICD10"
"T59.8","Інших уточнених газів, димів та випарів","ICD10"
"D21.6","Інші доброякісні новоутворення сполучної та інших м'яких тканин тулуба неуточненої локалізації","ICD10"
"L63.2","Гніздова стрічкоподібна алопеція [офіаз]","ICD10"
"S75.7","Травма декількох кровоносних судин у ділянці кульшового суглоба та стегна","ICD10"
"V42.60","Особа, яка знаходилася в легковому автомобілі, травмована при зіткненні з дво- або триколісним моторним транспортним засобом, Пасажир, травмований внаслідок дорожнього нещасного випадку, седан","ICD10"
"S37.02","Розрив нирки","ICD10"
"U86.2","Артрит і остеоартрит","ICD10"
"A74.9","Хламідійна інфекція, неуточнена","ICD10"
"M11.07","Хвороба відкладення гідроксиапатитів, ділянка гомілковостопного суглоба та стопи","ICD10"
"Z59.0","Відсутність житла","ICD10"
"K05.1","Хронічний гінгівіт","ICD10"
"K80.11","Камінь жовчного міхура з іншим холециститом, з обструкцією жовчовивідних шляхів","ICD10"
"M63.17","Міозит при протозойних та паразитарних інфекціях, класифікованих в інших рубриках, ділянка гомілковостопного суглоба та стопи","ICD10"
"N89.4","Лейкоплакія піхви","ICD10"
"S42.20","Перелом верхнього кінця плечової кістки, ділянка неуточнена","ICD10"
"D56.1","Бета-таласемія","ICD10"
"M86.49","Хронічний остеомієліт з дренованим синусом, локалізація неуточнена","ICD10"
"Q25.6","Стеноз легеневої артерії","ICD10"
"Q79.3","Гастрошизис","ICD10"
"I72.9","Аневризма та розшарування неуточненої локалізації","ICD10"
"H05.9","Хвороба очної ямки, неуточнена","ICD10"
"M85.54","Кіста кістки з аневризмою, кисть","ICD10"
"V26.38","Мотоцикліст, травмований при зіткненні з іншим немоторним транспортним засобом, Особа, травмована під час посадки або висадки, Інший уточнений мотоцикл","ICD10"
"M43.05","Спондилоліз, попереково-грудний відділ","ICD10"
"M03.09","Постменінгококовий артрит (A39.8 †), локалізація неуточнена","ICD10"
"W90","Вплив іншого неіонізуючого випромінювання","ICD10"
"Y57.3","Спеціальні лікарські засоби для лікування алкоголізму, які викликають непереносимість до алкоголю","ICD10"
"V77.7","Особа, яка знаходилася в автобусі, травмована при зіткненні з нерухомим або стаціонарним об'єктом, Особа, яка знаходилась ззовні на автобусі, травмована внаслідок дорожнього нещасного випадку","ICD10"
"H72.8","Інші види перфорації барабанної перетинки","ICD10"
"B39.5","Гістоплазмоз, зумовлений Histoplasira duboisii","ICD10"
"Z03.2","Спостереження за підозри на психічну хворобу або розлад поведінки","ICD10"
"X98.00","Напад з використанням пари, гарячих випарів та гарячих предметів з метою вбивства чи нанесення ушкодження, чоловік/дружина або співмешканець","ICD10"
"V45.61","Особа, яка знаходилася в легковому автомобілі, травмована при зіткненні з поїздом чи іншим залізничним транспортним засобом, Пасажир, травмований внаслідок дорожнього нещасного випадку, Всюдихідний чотириколісний автомобіль","ICD10"
"C22.0","Печінковоклітинна карцинома","ICD10"
"M80.57","Ідіопатичний остеопороз із патологічним переломом, ділянка гомілковостопного суглоба та стопи","ICD10"
"T93.2","Наслідки інших переломів нижньої кінцівки","ICD10"
"B45.1","Церебральний криптококоз","ICD10"
"U66.2","Роликові ковзани","ICD10"
"M66.0","Розрив підколінної кісти","ICD10"
"Z08.1","Подальше обстеження після радіотерапії злоякісного новоутворення","ICD10"
"V54.5","Особа, що знаходилася у вантажному автомобілі типу 'пікап' чи фургоні, травмована при зіткненні з важким вантажним транспортним засобом чи автобусом, Водій, травмований внаслідок дорожнього нещасного випадку","ICD10"
"Q87.26","Тромбоцитопенія з відсутністю променевої кістки","ICD10"
"V39.6","Особа без додаткового уточнення, що знаходилась у триколісному моторному транспортному засобі, травмована при зіткненні з іншими та неуточненими моторними транспортними засобами внаслідок дорожнього нещасного випадку","ICD10"
"F63.9","Розлад звичок та спонукань, неуточнений","ICD10"
"M46.51","Інші інфекційні спондилопатії, ділянка потилиці, першого та другого шийних хребців","ICD10"
"T46.5","Іншими гіпотензивними препаратами, не класифікованими в інших рубриках","ICD10"
"L03.02","Флегмона пальця стопи","ICD10"
"U57.08","Інші уточнені гімнастичні вправи","ICD10"
"T09.01","Садно у ділянці тулуба, рівень неуточнений","ICD10"
"H65.2","Хронічний серозний середній отит","ICD10"
"M79.99","Ураження м'яких тканин, неуточнене, локалізація неуточнена","ICD10"
"E72.4","Порушення обміну орнітину","ICD10"
"V33.3","Особа, яка знаходилася в триколісному моторному транспортному засобі, травмована при зіткненні з легковим автомобілем, вантажним автомобілем типу 'пікап' або фургоном, Особа без додаткового уточнення, що знаходилась у триколісному моторному транспортному засобі, травмована внаслідок не дорожнього нещасного випадку","ICD10"
"Q77.2","Синдром короткого ребра","ICD10"
"Y03.44","Напад шляхом зіткнення легкового автомобіля з іншим моторним транспортним засобом, дорожнього, знайомий або друг","ICD10"
"M20.2","Ригідність великого пальця стопи","ICD10"
"M60.10","Інтерстиціальний міозит, множинні локалізації","ICD10"
"Y92.21","Школа","ICD10"
"V46.62","Особа, яка знаходилася в легковому автомобілі, травмована при зіткненні з іншим немоторним транспортним засобом, Пасажир, травмований внаслідок дорожнього нещасного випадку, Чотириколісні мотоцикли","ICD10"
"F50.4","Переїдання, пов'язане з іншими психогенними порушеннями","ICD10"
"D35.6","Доброякісне новоутворення Аортального гломуса та іншого параганглія","ICD10"
"K10.3","Альвеоліт щелеп","ICD10"
"B34.8","Інші вірусні інфекції неуточненої локалізації","ICD10"
"F95.0","Транзиторний тик","ICD10"
"M23.45","Вільне тіло в задньому розі латерального меніска","ICD10"
"V22.52","Мотоцикліст, травмований при зіткненні з дво- або триколісним моторним транспортним засобом, Мотоцикліст-пасажир, травмований внаслідок дорожнього нещасного випадку, Мотоцикл, розроблений переважно для їзди не на дорогах","ICD10"
"X21.9","Контакт з неуточненим павуком","ICD10"
"D46.2","Рефрактерна анемія з надлишком бластних клітин","ICD10"
"F15.00","Розлади психіки та поведінки внаслідок вживання інших стимуляторів, включаючи кофеїн, гостра інтоксикація, неуточнені стимулятори","ICD10"
"V42.42","Особа, яка знаходилася в легковому автомобілі, травмована при зіткненні з дво- або триколісним моторним транспортним засобом, Особа, травмована під час посадки або висадки, Чотириколісні мотоцикли","ICD10"
"F18.0","Розлади психіки та поведінки внаслідок вживання летких розчинників, гостра інтоксикація","ICD10"
